Year,Institution_name,Institution code,Language,Province Name,Column name,Value,,,,,,,,,,
2022-2023,École polytechnique de Montréal,434,French, Quebec,Total funds,309912,,,,,,,,,,
2022-2023,École polytechnique de Montréal,434,French, Quebec,08. Endowment,0,,,,,,,,,,
2022-2023,École polytechnique de Montréal,434,French, Quebec,07. Capital,24846,,,,,,,,,,
2022-2023,École polytechnique de Montréal,434,French, Quebec,06. Ancillary,1487,,,,,,,,,,
2022-2023,École polytechnique de Montréal,434,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,École polytechnique de Montréal,434,French, Quebec,03. Sponsored Research - Entities Consolidated,99628,,,,,,,,,,
2022-2023,École polytechnique de Montréal,434,French, Quebec,02. Special Purpose and Trust,5222,,,,,,,,,,
2022-2023,École polytechnique de Montréal,434,French, Quebec,01. General operating,178729,,,,,,,,,,
2022-2023,École nationale d'administration pu,430,French, Quebec,Total funds,45333,,,,,,,,,,
2022-2023,École nationale d'administration pu,430,French, Quebec,08. Endowment,0,,,,,,,,,,
2022-2023,École nationale d'administration pu,430,French, Quebec,07. Capital,-353,,,,,,,,,,
2022-2023,École nationale d'administration pu,430,French, Quebec,06. Ancillary,4,,,,,,,,,,
2022-2023,École nationale d'administration pu,430,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,École nationale d'administration pu,430,French, Quebec,03. Sponsored Research - Entities Consolidated,5485,,,,,,,,,,
2022-2023,École nationale d'administration pu,430,French, Quebec,02. Special Purpose and Trust,4538,,,,,,,,,,
2022-2023,École nationale d'administration pu,430,French, Quebec,01. General operating,35659,,,,,,,,,,
2022-2023,École de technologie supérieure,438,French, Quebec,Total funds,289298,,,,,,,,,,
2022-2023,École de technologie supérieure,438,French, Quebec,08. Endowment,0,,,,,,,,,,
2022-2023,École de technologie supérieure,438,French, Quebec,07. Capital,47644,,,,,,,,,,
2022-2023,École de technologie supérieure,438,French, Quebec,06. Ancillary,8894,,,,,,,,,,
2022-2023,École de technologie supérieure,438,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,École de technologie supérieure,438,French, Quebec,03. Sponsored Research - Entities Consolidated,49076,,,,,,,,,,
2022-2023,École de technologie supérieure,438,French, Quebec,02. Special Purpose and Trust,5767,,,,,,,,,,
2022-2023,École de technologie supérieure,438,French, Quebec,01. General operating,177917,,,,,,,,,,
2022-2023,Yukon University,040,English, Yukon,Total funds,54298,,,,,,,,,,
2022-2023,Yukon University,040,English, Yukon,08. Endowment,0,,,,,,,,,,
2022-2023,Yukon University,040,English, Yukon,07. Capital,0,,,,,,,,,,
2022-2023,Yukon University,040,English, Yukon,06. Ancillary,1194,,,,,,,,,,
2022-2023,Yukon University,040,English, Yukon,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,Yukon University,040,English, Yukon,03. Sponsored Research - Entities Consolidated,6915,,,,,,,,,,
2022-2023,Yukon University,040,English, Yukon,02. Special Purpose and Trust,0,,,,,,,,,,
