Year,Institution_name,Institution code,Language,Province Name,Column name,Value
2022-2023,École polytechnique de Montréal,434,French, Quebec,Total funds,325203
2022-2023,École polytechnique de Montréal,434,French, Quebec,08. Endowment,3
2022-2023,École polytechnique de Montréal,434,French, Quebec,07. Capital,14761
2022-2023,École polytechnique de Montréal,434,French, Quebec,06. Ancillary,1513
2022-2023,École polytechnique de Montréal,434,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,École polytechnique de Montréal,434,French, Quebec,03. Sponsored Research - Entities Consolidated,106477
2022-2023,École polytechnique de Montréal,434,French, Quebec,02. Special Purpose and Trust,7749
2022-2023,École polytechnique de Montréal,434,French, Quebec,01. General operating,194700
2022-2023,École nationale d'administration pu,430,French, Quebec,Total funds,50988
2022-2023,École nationale d'administration pu,430,French, Quebec,08. Endowment,0
2022-2023,École nationale d'administration pu,430,French, Quebec,07. Capital,414
2022-2023,École nationale d'administration pu,430,French, Quebec,06. Ancillary,122
2022-2023,École nationale d'administration pu,430,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,École nationale d'administration pu,430,French, Quebec,03. Sponsored Research - Entities Consolidated,10668
2022-2023,École nationale d'administration pu,430,French, Quebec,02. Special Purpose and Trust,5701
2022-2023,École nationale d'administration pu,430,French, Quebec,01. General operating,34083
2022-2023,École de technologie supérieure,438,French, Quebec,Total funds,348801
2022-2023,École de technologie supérieure,438,French, Quebec,08. Endowment,0
2022-2023,École de technologie supérieure,438,French, Quebec,07. Capital,68045
2022-2023,École de technologie supérieure,438,French, Quebec,06. Ancillary,16192
2022-2023,École de technologie supérieure,438,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,École de technologie supérieure,438,French, Quebec,03. Sponsored Research - Entities Consolidated,54385
2022-2023,École de technologie supérieure,438,French, Quebec,02. Special Purpose and Trust,24145
2022-2023,École de technologie supérieure,438,French, Quebec,01. General operating,186034
2022-2023,Yukon University,040,English, Yukon,Total funds,64934
2022-2023,Yukon University,040,English, Yukon,08. Endowment,-164
2022-2023,Yukon University,040,English, Yukon,07. Capital,1900
2022-2023,Yukon University,040,English, Yukon,06. Ancillary,1309
2022-2023,Yukon University,040,English, Yukon,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,Yukon University,040,English, Yukon,03. Sponsored Research - Entities Consolidated,7797
2022-2023,Yukon University,040,English, Yukon,02. Special Purpose and Trust,0
2022-2023,Yukon University,040,English, Yukon,01. General operating,54092
2022-2023,York University,598,English, Ontario,Total funds,1350714
2022-2023,York University,598,English, Ontario,08. Endowment,32444
2022-2023,York University,598,English, Ontario,07. Capital,18665
2022-2023,York University,598,English, Ontario,06. Ancillary,64071
2022-2023,York University,598,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,York University,598,English, Ontario,03. Sponsored Research - Entities Consolidated,120473
2022-2023,York University,598,English, Ontario,02. Special Purpose and Trust,26975
2022-2023,York University,598,English, Ontario,01. General operating,1088086
2022-2023,Wilfrid Laurier University,594,English, Ontario,Total funds,427311
2022-2023,Wilfrid Laurier University,594,English, Ontario,08. Endowment,6737
2022-2023,Wilfrid Laurier University,594,English, Ontario,07. Capital,13465
2022-2023,Wilfrid Laurier University,594,English, Ontario,06. Ancillary,52776
2022-2023,Wilfrid Laurier University,594,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,Wilfrid Laurier University,594,English, Ontario,03. Sponsored Research - Entities Consolidated,18974
2022-2023,Wilfrid Laurier University,594,English, Ontario,02. Special Purpose and Trust,15843
2022-2023,Wilfrid Laurier University,594,English, Ontario,01. General operating,319516
2022-2023,Western University,592,English, Ontario,Total funds,1499935
2022-2023,Western University,592,English, Ontario,08. Endowment,30795
2022-2023,Western University,592,English, Ontario,07. Capital,19315
2022-2023,Western University,592,English, Ontario,06. Ancillary,157694
2022-2023,Western University,592,English, Ontario,04. Sponsored Research - Entities Not Consolidated,69248
2022-2023,Western University,592,English, Ontario,03. Sponsored Research - Entities Consolidated,211554
2022-2023,Western University,592,English, Ontario,02. Special Purpose and Trust,98931
2022-2023,Western University,592,English, Ontario,01. General operating,912398
2022-2023,Victoria University,588,English, Ontario,Total funds,65626
2022-2023,Victoria University,588,English, Ontario,08. Endowment,19445
2022-2023,Victoria University,588,English, Ontario,07. Capital,782
2022-2023,Victoria University,588,English, Ontario,06. Ancillary,29963
2022-2023,Victoria University,588,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,Victoria University,588,English, Ontario,03. Sponsored Research - Entities Consolidated,41
2022-2023,Victoria University,588,English, Ontario,02. Special Purpose and Trust,2538
2022-2023,Victoria University,588,English, Ontario,01. General operating,12857
2022-2023,Vancouver Island University,980,English, British Columbia,Total funds,170759
2022-2023,Vancouver Island University,980,English, British Columbia,08. Endowment,0
2022-2023,Vancouver Island University,980,English, British Columbia,07. Capital,6206
2022-2023,Vancouver Island University,980,English, British Columbia,06. Ancillary,9754
2022-2023,Vancouver Island University,980,English, British Columbia,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,Vancouver Island University,980,English, British Columbia,03. Sponsored Research - Entities Consolidated,5056
2022-2023,Vancouver Island University,980,English, British Columbia,02. Special Purpose and Trust,10297
2022-2023,Vancouver Island University,980,English, British Columbia,01. General operating,139446
2022-2023,Université du Québec à Trois-Rivièr,482,French, Quebec,Total funds,301973
2022-2023,Université du Québec à Trois-Rivièr,482,French, Quebec,08. Endowment,8
2022-2023,Université du Québec à Trois-Rivièr,482,French, Quebec,07. Capital,11075
2022-2023,Université du Québec à Trois-Rivièr,482,French, Quebec,06. Ancillary,2517
2022-2023,Université du Québec à Trois-Rivièr,482,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,Université du Québec à Trois-Rivièr,482,French, Quebec,03. Sponsored Research - Entities Consolidated,53901
2022-2023,Université du Québec à Trois-Rivièr,482,French, Quebec,02. Special Purpose and Trust,0
2022-2023,Université du Québec à Trois-Rivièr,482,French, Quebec,01. General operating,234472
2022-2023,Université du Québec à Rimouski,476,French, Quebec,Total funds,148680
2022-2023,Université du Québec à Rimouski,476,French, Quebec,08. Endowment,0
2022-2023,Université du Québec à Rimouski,476,French, Quebec,07. Capital,8091
2022-2023,Université du Québec à Rimouski,476,French, Quebec,06. Ancillary,852
2022-2023,Université du Québec à Rimouski,476,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,Université du Québec à Rimouski,476,French, Quebec,03. Sponsored Research - Entities Consolidated,35252
2022-2023,Université du Québec à Rimouski,476,French, Quebec,02. Special Purpose and Trust,0
2022-2023,Université du Québec à Rimouski,476,French, Quebec,01. General operating,104485
2022-2023,Université du Québec à Montréal,473,French, Quebec,Total funds,625842
2022-2023,Université du Québec à Montréal,473,French, Quebec,08. Endowment,0
2022-2023,Université du Québec à Montréal,473,French, Quebec,07. Capital,35624
2022-2023,Université du Québec à Montréal,473,French, Quebec,06. Ancillary,15863
2022-2023,Université du Québec à Montréal,473,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,Université du Québec à Montréal,473,French, Quebec,03. Sponsored Research - Entities Consolidated,107645
2022-2023,Université du Québec à Montréal,473,French, Quebec,02. Special Purpose and Trust,0
2022-2023,Université du Québec à Montréal,473,French, Quebec,01. General operating,466710
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,Total funds,178076
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,08. Endowment,234
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,07. Capital,8828
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,06. Ancillary,774
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,03. Sponsored Research - Entities Consolidated,34762
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,02. Special Purpose and Trust,1205
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,01. General operating,132273
2022-2023,Université du Québec en Outaouais,471,French, Quebec,Total funds,134387
2022-2023,Université du Québec en Outaouais,471,French, Quebec,08. Endowment,0
2022-2023,Université du Québec en Outaouais,471,French, Quebec,07. Capital,6509
2022-2023,Université du Québec en Outaouais,471,French, Quebec,06. Ancillary,2752
